Experiment Time,Train Time,Dataset Name,Model Name,Val Loss,Test Loss,IoU,Dice,Precision,Recall,Total Params,Train-Predction Time
250617_233437,250617_233438,ETIS,submission_20221555,0.4142683469332181,0.3595821643487001,0.33033969564981724,0.4221030437506083,0.5333944232652401,0.3999760329949583,"7,797",00:00:31
250617_233437,250617_233508,CVPPP,submission_20221555,0.028498510013759873,0.028339648688281024,0.9316348556983615,0.9639319490418368,0.9587606359732415,0.9698551796482647,"7,797",00:01:42
250617_233437,250617_233648,CFD,submission_20221555,0.23496896028518677,0.2736434241135915,0.37492817188631067,0.5328464037327008,0.5824986007469051,0.5317792039017166,"7,797",00:00:24
250617_233437,250617_233712,CarDD,submission_20221555,0.4187160592812758,0.42388384158794695,0.33295580202173053,0.4710758276013045,0.49078227819796305,0.5526108808130813,"7,797",00:01:11
